event,positionX,positionY,timestamp,windowName,userId,id,button,
Move,380,160,3.641,/authorization,2,174406,NoButton,
Move,378,160,3.642,/authorization,2,174407,NoButton,
Move,376,160,3.643,/authorization,2,174408,NoButton,
Move,375,160,3.644,/authorization,2,174409,NoButton,
Move,372,160,3.645,/authorization,2,174410,NoButton,
Move,371,162,3.646,/authorization,2,174411,NoButton,
Move,369,162,3.647,/authorization,2,174412,NoButton,
Move,367,162,3.648,/authorization,2,174413,NoButton,
Move,366,162,3.649,/authorization,2,174414,NoButton,
Move,364,162,3.65,/authorization,2,174415,NoButton,
Move,361,162,3.651,/authorization,2,174416,NoButton,
Move,360,162,3.652,/authorization,2,174417,NoButton,
Move,359,163,3.653,/authorization,2,174418,NoButton,
Move,357,164,3.654,/authorization,2,174419,NoButton,
Move,355,165,3.655,/authorization,2,174420,NoButton,
Move,353,166,3.656,/authorization,2,174421,NoButton,
Move,352,166,3.657,/authorization,2,174422,NoButton,
Move,348,166,3.659,/authorization,2,174423,NoButton,
Move,346,167,3.66,/authorization,2,174424,NoButton,
Move,345,168,3.661,/authorization,2,174425,NoButton,
Move,343,168,3.662,/authorization,2,174426,NoButton,
Move,341,169,3.663,/authorization,2,174427,NoButton,
Move,338,169,3.664,/authorization,2,174428,NoButton,
Move,338,170,3.665,/authorization,2,174429,NoButton,
Move,336,170,3.666,/authorization,2,174430,NoButton,
Move,335,170,3.667,/authorization,2,174431,NoButton,
Move,334,170,3.668,/authorization,2,174432,NoButton,
Move,331,171,3.669,/authorization,2,174433,NoButton,
Move,329,171,3.67,/authorization,2,174434,NoButton,
Move,328,172,3.671,/authorization,2,174435,NoButton,
Move,327,172,3.672,/authorization,2,174436,NoButton,
Move,325,173,3.673,/authorization,2,174437,NoButton,
Move,320,175,3.675,/authorization,2,174438,NoButton,
Move,319,176,3.676,/authorization,2,174439,NoButton,
Move,318,176,3.677,/authorization,2,174440,NoButton,
Move,316,177,3.678,/authorization,2,174441,NoButton,
Move,314,178,3.679,/authorization,2,174442,NoButton,
Move,312,178,3.68,/authorization,2,174443,NoButton,
Move,312,178,3.681,/authorization,2,174444,NoButton,
Move,310,178,3.682,/authorization,2,174445,NoButton,
Move,309,178,3.683,/authorization,2,174446,NoButton,
Move,308,179,3.684,/authorization,2,174447,NoButton,
Move,306,180,3.685,/authorization,2,174448,NoButton,
Move,304,181,3.686,/authorization,2,174449,NoButton,
Move,303,181,3.688,/authorization,2,174450,NoButton,
Move,302,182,3.689,/authorization,2,174451,NoButton,
Move,300,183,3.69,/authorization,2,174452,NoButton,
Move,298,183,3.691,/authorization,2,174453,NoButton,
Move,296,184,3.693,/authorization,2,174454,NoButton,
Move,296,185,3.694,/authorization,2,174455,NoButton,
Move,295,185,3.695,/authorization,2,174456,NoButton,
Move,293,185,3.696,/authorization,2,174457,NoButton,
