type_of_action,traveled_distance_pixel,elapsed_time,direction_of_movement,straightness,num_points,sum_of_angles,mean_curv,sd_curv,max_curv,min_curv,mean_omega,sd_omega,max_omega,min_omega,largest_deviation,dist_end_to_end_line,num_critical_points,mean_vx,sd_vx,max_vx,min_vx,mean_vy,sd_vy,max_vy,min_vy,mean_v,sd_v,max_v,min_v,mean_a,sd_a,max_a,min_a,mean_jerk,sd_jerk,max_jerk,min_jerk,a_beg_time,n_from,n_to
4,377.6694714658912,1.4159999999999968,0,0.9442766208935354,392,37.8410088976817,0.0059081418285569995,0.47574141389381314,1.5707963267948966,-1.5707963267948966,-0.22575146752921674,318.2680785855822,1570.7963267929767,-1570.7963267985574,520.3036381477871,356.62445233045923,290,534.984880989922,439.4060683684246,2999.999999996334,0.0,54.44606413994045,203.4678624912415,1000.0000000023306,0.0,568.3220779075192,447.7578593859428,3162.2776601645146,0.0,88795.08103189238,481631.562771012,2662277.660160984,-2999999.999992667,76488834.36341196,733911396.8427739,5236067977.515081,-4999999999.979892,0.49499999999999744,9009,9400
1,135.88539740695342,0.3880000000000017,1,0.8067244910793754,126,109.02844765764101,0.13359645126158493,0.9323083997255699,1.5707963267948966,-1.5707963267948966,-32.14590621245576,668.0080198789785,1570.7963267985574,-1570.7963267985574,667.0462856440164,109.62207806824317,34,239.79591836728258,332.752578912091,1000.0000000023306,28.571428571428456,332.04236239950575,340.94683912034253,1000.0000000023306,28.571428571428456,520.488795154043,349.5199320833458,1414.2135623713666,40.406101782088264,75096.45034396609,335825.0226536355,1414213.5623696384,-500000.0000005542,57573796.296886034,415975000.21164286,1747546895.7008107,-1328427124.7435136,0.0070000000000014495,9401,9526
1,48.128990204491956,0.2749999999999986,2,0.8676937924150455,45,73.82742735936014,0.19155073184567162,0.8836216112231924,1.6660811018093864,-1.5707963267948966,-2.9876617405730896,552.1154047816719,1570.7963267929767,-1570.7963267985574,300.7574535594415,41.7612260356422,18,-82.33445856968329,224.7040618417615,0,-999.9999999987779,245.25645015847158,253.8973488406318,1000.0000000023306,0.0,310.92219317975207,289.58747799525213,1000.0000000023306,35.714285714287385,67924.85531183035,215900.40176211426,823223.3047011154,-187499.99999976374,48977132.05758207,253579157.48264334,937499999.9963406,-749999999.9959178,0.0030000000000001137,9530,9574
4,118.41421356237309,0.782,4,0.971314055376725,135,354.2145716922485,0.4396249748333074,1.4821943184498918,5.497787143782138,-4.71238898038469,-14.05303536403596,790.7069445735482,3141.5926535859535,-4712.388980378931,403.8606684105317,115.0173899895142,95,-296.92376769861784,255.30566113866513,0,-1000.0000000023306,-7.407407407411512,136.38558495260352,999.9999999987779,-999.9999999987779,316.9764105222068,267.10230229212414,1000.0000000023306,0.0,56660.08421555131,231027.66142475317,999999.9999975557,-499999.99999966606,46768591.12099732,263978078.6822639,1124999999.9960973,-666666666.6638277,0.062000000000001165,9575,9709
3,133.07231000407182,0.2190000000000012,5,0.8547302868729425,111,-96.10237004369698,0.19811396692472022,2.5190325917966243,5.497787143782138,-4.71238898038469,-74.53203099922395,2342.2607609088723,5497.787143775419,-5497.787143794951,444.7475359343111,113.74093370462545,17,-371.9219219218262,472.5975679988222,0,-1999.9999999975557,-604.9549549548154,453.97708135877383,0,-1999.9999999975557,832.8615919456498,486.45522722165623,2236.067977497057,33.33333333333207,88499.31112307434,520317.97920423414,1736067.9774946584,-1000000.0000011084,87408510.74947783,714600733.6675957,2414213562.3677964,-1666666666.6597664,0.0070000000000014495,9710,9822
3,73.4361259938572,0.28800000000000026,4,0.8162418356272885,66,46.15863814065696,0.23773832802179712,3.6733766739003504,5.81953769817878,-4.71238898038469,61.49607025948907,2512.651406964437,5497.787143794951,-5497.787143794951,440.9956210302796,59.941638282582836,12,-338.7307137307165,360.2121841099633,0,-1000.0000000023306,-212.41582491590123,319.833249978915,0,-1000.0000000023306,502.9601586812937,368.8783836927972,1414.2135623763909,0.0,74357.93046894955,324816.2261601679,1000000.0000046612,-999999.9999975557,32296835.78757636,383998267.1362928,1000000000.0069917,-999999999.9927808,0.0009999999999976694,9823,10392
1,221.85638406300956,0.38300000000000267,2,0.8632151456053403,184,293.73891311064517,0.10821403827473185,0.788606649297593,3.141592653589793,-1.5707963267948966,6.054469774400899,700.4518954759891,1570.7963267985574,-1570.7963267985574,641.4293464600474,191.5097908724251,90,-65.76086956519275,316.7311034781963,1000.0000000023306,-1000.0000000023306,610.5417529331422,477.6879826582605,2000.0000000046612,99.99999999998437,716.9513796744047,435.975116613474,2236.0679775050007,99.99999999998437,79111.68281610955,459839.83102550055,1500000.0000087682,-1236067.9775047123,78557143.78612162,622211094.3243811,1750000000.014012,-2500000000.0094857,0.009000000000000341,10393,10576
4,12.0,0.1109999999999971,1,0.7905694150420949,15,14.137166941154069,0.1308996938995747,1.167471573729355,1.5707963267948966,-1.5707963267948966,99.80643327587305,290.95188181551254,785.3981633978835,-130.89969389956974,665.6594474654438,9.486832980505138,5,13.858363858362866,29.345612865844807,83.33333333333017,0.0,177.61497761503284,195.28691669855,500.0000000002771,0.0,191.4733414733957,182.67995668183644,500.0000000002771,0.0,27444.618387764553,95085.14300061531,250000.0000002771,-55555.55555565003,8015179.712331486,63086068.93452665,125000000.00020783,-101851851.85197183,0.0019999999999988916,10577,10591
3,284.49309627606476,0.49199999999999733,2,0.9057173456454126,221,361.8886998264307,0.08059479410722675,0.6948810140742633,3.141592653589793,-1.5707963267948966,-36.05104086134917,652.1911378504924,2034.4439358004443,-2356.1944901894653,437.96272204920643,257.6703320136022,118,-111.95108812755593,321.5022914097665,1000.0000000023306,-1000.0000000023306,773.9204912735216,512.2602262681839,2999.999999996334,0.0,856.5567611470663,492.40208128928793,2999.999999996334,0.0,73521.04792999243,507851.48242546956,2236067.977510212,-1414213.5623696384,64795468.19028544,737173613.3838023,3650281539.888357,-2499999999.989946,0.006000000000000227,10592,10814
3,521.435597791017,0.6920000000000002,4,0.9761681844200922,306,827.3460166119069,0.11439742447641114,1.3093885056618195,5.81953769817878,-4.71238898038469,-26.754973706141154,1391.5931764962152,5819.537698192343,-5819.537698192343,282.6512792535512,509.00884078766256,234,-1400.1994793094007,954.7567419514894,0,-6000.0000000139835,-11.199176640368819,240.14426361766976,1000.0000000023306,-1000.0000000023306,1430.1621776332463,940.2098569055913,6000.0000000139835,0.0,49061.40189375111,1055405.5970441478,4585786.437653304,-3000000.0000068783,46475354.23361487,1826594727.4198895,5171572875.290831,-5999999999.974448,0.0010000000000012221,10815,11122
